Id,SalePrice
1461,120204.77768781179
1462,154582.42237454536
1463,184556.37077616417
1464,199523.4937815668
1465,193272.37279897282
1466,170309.16705159022
1467,177945.1155106655
1468,160681.02623599596
1469,198277.8107791103
1470,117625.30870461243
1471,191759.77468841185
1472,98511.13444012818
1473,94217.25031712784
1474,143954.15578570496
1475,107971.06510133464
1476,364433.9253488598
1477,239227.67239232996
1478,287288.5228370423
1479,290772.8458464166
1480,480287.3385884877
1481,321407.4267558192
1482,208454.8036219895
1483,181090.21050472063
1484,159331.2866030285
1485,186698.38880639029
1486,195363.41672876207
1487,331810.7728101733
1488,234440.56665536252
1489,191580.55828644597
1490,247257.30174706792
1491,195165.53635967345
1492,92454.71203856407
1493,181855.4657883405
1494,286118.9853879389
1495,287966.47464278276
1496,235664.8251953722
1497,179358.23073235134
1498,166716.52494466107
1499,159976.0283697302
1500,157836.10349682352
1501,175733.31979142124
1502,144310.29308117987
1503,286716.0216974867
1504,238810.08909147573
1505,225003.05872297092
1506,192669.01511941128
1507,250476.5187994346
1508,201077.21419385078
1509,158747.06183850733
1510,142894.82662733772
1511,149124.7744450663
1512,174115.9472698713
1513,151049.31221483593
1514,150074.16336415758
1515,195195.95837466297
1516,153860.2205492374
1517,170935.425950411
1518,132877.67984290083
1519,209599.68733704064
1520,126552.6312906302
1521,132616.33964625423
1522,179872.17521651636
1523,109676.9480982681
1524,127293.76171023052
1525,118614.66864238492
1526,109466.32296608589
1527,103564.17056560382
1528,137769.97426823253
1529,149972.082135582
1530,185362.1297921076
1531,103440.9905275058
1532,96964.48279629472
1533,151192.52613277518
1534,126832.00625170178
1535,153571.0859344974
1536,109348.29285761756
1537,66955.53329098046
1538,143068.22649708952
1539,184605.36317686824
1540,97833.94297183724
1541,141512.25447024684
1542,146501.39973636204
1543,190714.80305801972
1544,85275.22352833641
1545,114770.32246430064
1546,133434.350412467
1547,126010.16872052077
1548,140504.65594825597
1549,122433.09946361807
1550,133782.16985026363
1551,106376.0297587718
1552,137069.62157054106
1553,146662.68005267828
1554,113942.79353697186
1555,161204.09060198016
1556,82341.22604449211
1557,108403.61866167952
1558,101356.93498245643
1559,75521.8506396253
1560,135047.58604670086
1561,124773.64167227506
1562,131015.9179174742
1563,122138.65155236326
1564,157480.66097548185
1565,151057.49774376323
1566,242886.19295606314
1567,76658.61431776981
1568,234796.24373999078
1569,129199.40296302903
1570,135908.5364260619
1571,119165.52208605233
1572,147131.0062898594
1573,240543.35768524036
1574,125857.00555930227
1575,238118.38873509172
1576,250108.76117833302
1577,178946.83532938067
1578,141606.16792866436
1579,145191.25220857424
1580,194095.6977062991
1581,152276.87917046284
1582,122020.4107959246
1583,287018.6695046097
1584,216835.3569988754
1585,134765.62923019726
1586,61143.12988923142
1587,99200.6057911422
1588,154880.78404325308
1589,98366.5220402367
1590,134995.88380005237
1591,93588.46041969207
1592,118946.73526360799
1593,119132.88205406544
1594,127710.56416440048
1595,126544.74285006263
1596,223824.82258862164
1597,197280.1039158186
1598,226122.6491876152
1599,163784.60435135377
1600,156278.204858383
1601,61237.96947916086
1602,119447.8730517397
1603,69061.93743149242
1604,269264.90341582673
1605,237981.42083827537
1606,169972.92718627577
1607,177114.49399210876
1608,215173.41934513964
1609,180464.02250986794
1610,147045.82860799442
1611,140685.2536562487
1612,174311.9076047782
1613,166587.23226500608
1614,131362.25149719368
1615,95321.94393530738
1616,80501.3719942208
1617,93471.10382172343
1618,125887.83049221092
1619,134105.9903887647
1620,174572.60968042052
1621,138256.43060785858
1622,138046.82824756805
1623,257953.90431522217
1624,216237.70721495696
1625,117425.49653415325
1626,171507.29999404761
1627,196156.29069529538
1628,281056.87679487583
1629,176198.88886526457
1630,349800.800198999
1631,229512.69564699178
1632,241150.81177377023
1633,168462.8317995551
1634,185538.2879372802
1635,173970.9078133275
1636,152025.26062739544
1637,204971.346925044
1638,177985.17152051823
1639,189575.49132044765
1640,251364.13062541443
1641,184316.70414856664
1642,248335.80431830604
1643,212138.01108481153
1644,231708.39347480112
1645,198528.27188037976
1646,156371.62325293134
1647,159048.39946384248
1648,132588.023629839
1649,140584.73346795538
1650,109864.09250954601
1651,122847.3570954336
1652,97964.69066855092
1653,99520.97468364611
1654,141838.0968739946
1655,132474.3448237241
1656,140195.81926729233
1657,145650.1512830727
1658,142751.28753385518
1659,114158.5533010669
1660,156408.39350155156
1661,427252.52663767093
1662,390986.4003642735
1663,379729.56904787256
1664,494175.8726792714
1665,311629.3826079034
1666,327321.0164018269
1667,388922.85648490564
1668,350126.6027455481
1669,304956.5119077521
1670,343464.23859547905
1671,257027.16524634257
1672,399729.73140491114
1673,279711.4596712132
1674,233136.1111068387
1675,198014.25346608678
1676,198166.63061666748
1677,220735.94333867414
1678,448141.84523300274
1679,392529.5868636746
1680,335554.1417941787
1681,249742.22113858568
1682,311445.11023839324
1683,185041.0925199697
1684,174751.6495980315
1685,175575.40130805754
1686,167622.3800626224
1687,169217.62941996206
1688,190667.10084079936
1689,195831.4988094287
1690,195534.12046761875
1691,187032.83266323956
1692,261333.06856911845
1693,167004.3979629769
1694,182189.214961747
1695,159373.22508427952
1696,266350.0653571455
1697,165179.7259175316
1698,338980.2405171878
1699,295219.74039551517
1700,256771.29390622038
1701,274709.6570116699
1702,234344.91354503686
1703,231083.12163337538
1704,266240.6266231331
1705,239952.20615638664
1706,428981.4131595603
1707,214863.3355653915
1708,202393.91603276247
1709,257731.05322621533
1710,219153.69792400624
1711,275699.82908242574
1712,248426.280427709
1713,276662.6141661056
1714,222321.64217774826
1715,207236.58114281023
1716,181272.26636141492
1717,176345.9898404287
1718,138034.7861268895
1719,213574.80885110822
1720,234066.54258135977
1721,166749.33034768255
1722,127280.0080253727
1723,156954.38878457187
1724,200627.05088060163
1725,234609.43049524733
1726,186976.74248900794
1727,155260.00646604295
1728,172026.82844177398
1729,167532.27461691224
1730,162832.6919351844
1731,119109.99388800692
1732,124469.93701315338
1733,114622.26093789283
1734,123411.33719951507
1735,120406.54985615278
1736,104894.94806511317
1737,277359.4297506337
